ID,N,OV,N_La,N_Li,N_N,OV_La,OV_Li,OV_OV,N_OV,E
U2_N0_OV0_01,0,0,0,0,0,0,0,0,0,-1475.367534
U2_N1_OV0_01,1,0,1,0,0,0,0,0,0,-1473.637464
U2_N1_OV0_02,1,0,2,0,0,0,0,0,0,-1473.635036
U2_N1_OV0_03,1,0,3,0,0,0,0,0,0,-1473.696647
U2_N1_OV0_04,1,0,4,0,0,0,0,0,0,-1473.904957
U2_N1_OV0_05,1,0,0,1,0,0,0,0,0,-1473.562471
U2_N1_OV0_06,1,0,1,1,0,0,0,0,0,-1473.650377
U2_N1_OV0_07,1,0,2,1,0,0,0,0,0,-1473.67793
U2_N1_OV0_08,1,0,3,1,0,0,0,0,0,-1473.633541
U2_N1_OV0_09,1,0,0,2,0,0,0,0,0,-1473.523654
U2_N1_OV0_10,1,0,1,2,0,0,0,0,0,-1473.669188
U2_N0_OV1_01,0,1,0,0,0,1,0,0,0,-1466.02051
U2_N0_OV1_02,0,1,0,0,0,2,0,0,0,-1466.503484
U2_N0_OV1_03,0,1,0,0,0,3,0,0,0,-1466.56009
U2_N0_OV1_04,0,1,0,0,0,4,0,0,0,-1466.749531
U2_N0_OV1_05,0,1,0,0,0,0,1,0,0,-1466.058068
U2_N0_OV1_06,0,1,0,0,0,1,1,0,0,-1465.825869
U2_N0_OV1_07,0,1,0,0,0,2,1,0,0,-1466.380549
U2_N0_OV1_08,0,1,0,0,0,3,1,0,0,-1467.245359
U2_N0_OV1_09,0,1,0,0,0,0,2,0,0,-1465.663246
U2_N0_OV1_10,0,1,0,0,0,1,2,0,0,-1466.111152
U2_N2_OV0_01,2,0,1,0,0,0,0,0,0,-1472.162882
U2_N2_OV0_02,2,0,2,0,0,0,0,0,0,-1472.161843
U2_N2_OV0_03,2,0,3,0,0,0,0,0,0,-1472.216808
U2_N2_OV0_04,2,0,4,0,0,0,0,0,0,-1472.083465
U2_N2_OV0_05,2,0,2,0,1,0,0,0,0,-1474.283617
U2_N2_OV0_06,2,0,0,1,0,0,0,0,0,-1472.114501
U2_N2_OV0_07,2,0,1,1,0,0,0,0,0,-1472.18809
U2_N2_OV0_08,2,0,2,1,0,0,0,0,0,-1472.106608
U2_N2_OV0_09,2,0,3,1,0,0,0,0,0,-1472.148145
U2_N2_OV0_10,2,0,2,1,1,0,0,0,0,-1472.224819
U2_N2_OV0_11,2,0,0,2,0,0,0,0,0,-1472.00754
U2_N2_OV0_12,2,0,1,2,0,0,0,0,0,-1472.191775
U2_N3_OV0_01,3,0,1,0,0,0,0,0,0,-1470.477904
U2_N3_OV0_02,3,0,2,0,0,0,0,0,0,-1470.482667
U2_N3_OV0_03,3,0,3,0,0,0,0,0,0,-1470.567003
U2_N3_OV0_04,3,0,4,0,0,0,0,0,0,-1470.406649
U2_N3_OV0_05,3,0,2,0,1,0,0,0,0,-1470.621566
U2_N3_OV0_06,3,0,4,0,1,0,0,0,0,-1470.658145
U2_N3_OV0_07,3,0,2,0,2,0,0,0,0,-1470.960094
U2_N3_OV0_08,3,0,0,1,0,0,0,0,0,-1470.379157
U2_N3_OV0_09,3,0,2,1,0,0,0,0,0,-1470.526856
U2_N3_OV0_10,3,0,1,1,0,0,0,0,0,-1470.515782
U2_N3_OV0_11,3,0,3,1,0,0,0,0,0,-1470.521961
U2_N3_OV0_12,3,0,2,1,1,0,0,0,0,-1470.586074
U2_N3_OV0_13,3,0,0,2,0,0,0,0,0,-1470.451611
U2_N3_OV0_14,3,0,1,2,0,0,0,0,0,-1470.514282
U2_N3_OV0_15,3,0,0,2,1,0,0,0,0,-1470.441492
